convexHull,Elipse,Rec,Circle,Area,Classe
1126,5398.739726402677,6734.0,7618.392993454135,5361.0,bons
525,5420.118439322671,6364.0,7330.151049224662,5368.0,bons
923,5156.06513356955,6248.0,6451.681701552455,5134.5,bons
931,6258.966852096179,7954.0,7920.772098744104,6223.0,bons
497,5614.78063775378,7008.0,7848.070928308793,5563.5,bons
1489,5913.3179387061855,7657.5,9174.269498794809,5853.0,bons
683,4997.063897393756,6130.0,6470.170837043162,4960.0,bons
573,4836.561385651946,6120.0,6191.033359053812,4807.0,bons
921,5430.9373140011185,6586.0,6661.456448878457,5396.0,bons
458,4691.581338114618,5976.0,5860.255620060929,4682.5,bons
595,4933.023269276588,6308.0,5691.1027182557655,4886.0,bons
856,6433.594290859015,8080.0,8239.664937566391,6399.0,bons
1112,5532.587336643112,6932.5,8130.373945858932,5499.0,bons
639,4433.428980007698,5395.0,5941.563735746517,4416.5,bons
1049,4366.739229511903,5742.0,6931.168620165699,4308.5,bons
606,3878.5850616640932,4960.0,5253.5539742956025,3850.0,bons
534,4128.0705981604315,5092.0,4879.050689478912,4110.5,bons
410,5291.19886229956,6688.0,6613.0812869687325,5263.5,bons
1000,4408.0661864619315,5407.5,5649.203069242586,4366.0,bons
572,5541.7387208785185,6580.0,8005.7933542459905,5446.5,bons
689,5085.514338220413,6204.0,7182.565963872641,5064.5,bons
539,4643.478094227234,5655.0,6265.515574208855,4621.5,bons
1465,5586.553875066626,6901.0,9464.081978916685,5519.5,bons
989,4817.484737256511,6319.0,6838.883824179237,4784.0,bons
405,4231.629615117232,4992.0,5444.406441340656,4210.0,bons
423,5605.160937264425,6566.0,7954.290263121802,5540.5,bons
706,5740.560585758741,7280.0,7504.33759221099,5726.0,bons
683,4551.228979413254,5655.0,6322.443655956695,4528.5,bons
905,3955.595132065928,5025.0,5040.710138218924,3927.5,bons
754,4774.464604968168,5673.0,7055.674233668483,4728.0,bons
489,4460.845299016985,5563.0,6372.256421490734,4440.0,bons
592,5240.462519781551,6532.0,7606.612139481937,5206.5,bons
483,4097.532112042797,4977.0,5562.215712180908,4068.0,bons
543,4997.066816631468,6375.0,6283.2130931801385,4988.5,bons
668,4008.8549727682102,5022.0,5310.103043404114,3992.5,bons
989,3771.1465199945446,4800.0,4948.818448468401,3724.0,bons
572,3858.854611676455,4875.0,4811.336090038685,3834.0,bons
1153,4299.137064954835,5546.0,7648.238018529304,4227.5,bons
856,4206.166490530515,5326.5,4930.116543850778,4191.0,bons
567,4089.663492622917,4928.0,5267.4312389066445,4062.5,bons
1017,4589.35304428053,5644.0,5957.271961107211,4568.5,bons
615,4686.687239184575,5836.0,6249.302124247368,4647.5,bons
508,4629.6588167175305,5644.0,5830.854672620747,4606.0,bons
572,3817.1705575202836,4697.0,4857.550583900095,3801.5,bons
380,3676.20340011116,4543.0,4823.569608326786,3645.0,bons
618,4371.640290993358,5355.0,6001.431312137113,4332.0,bons
543,4343.496711977537,5084.0,5744.9402416732855,4295.5,bons
1039,4039.5881182762464,5273.5,6449.09359615886,4019.5,bons
780,3965.28098864279,4740.0,5156.164332373304,3929.0,bons
631,4354.946047802434,5160.0,6145.2816202979975,4304.0,bons
595,3798.700532037974,4233.0,5834.787467272629,3716.0,bons
724,3828.8648434943484,4543.0,4863.8701036775055,3798.5,bons
1140,4107.800278238803,5139.5,5851.182521362681,4083.5,bons
528,4019.7373457024955,4880.0,5391.783912926657,3997.5,bons
1086,4066.2749381250687,5037.0,5234.863524951205,4047.0,bons
640,3294.391881892665,3975.0,4961.385429162389,3247.5,bons
660,4605.827052480092,5904.0,6152.9960732736445,4573.5,bons
648,3540.977975958422,4620.0,5495.456879993458,3530.5,bons
472,4227.430409583946,5160.0,6214.914688899034,4206.0,bons
1220,3975.4877863509632,5002.0,5609.818903639192,3956.0,bons
512,4107.964436830816,5040.0,5552.317361399027,4088.5,bons
520,3563.8714444822726,4352.0,4684.924259998376,3540.0,bons
613,4581.283671779256,5432.0,7705.179206200934,4457.5,bons
614,4555.665271413868,5880.0,6100.861365048709,4530.0,bons
819,4021.951648265451,4928.0,5053.509500387505,3995.0,bons
1143,4487.007185902688,5766.0,6248.911942583763,4446.0,bons
971,4100.568896640928,5092.0,5156.853779952363,4061.0,bons
639,3455.6203596832697,4288.0,4377.84063675412,3438.5,bons
717,3306.783638971681,3965.0,4251.382800822487,3283.0,bons
1492,3257.0171836882037,3944.0,3981.3527510668564,3207.0,bons
762,3504.920722556676,4307.0,4327.546068396682,3479.0,bons
639,3819.8038821096225,4672.0,4472.29376210386,3809.0,bons
1131,3187.6749473266627,4092.0,4275.730959264446,3152.0,bons
497,4099.329255340709,5135.0,5309.316716206909,4087.5,bons
546,3630.4074184573205,4347.0,4429.854921254993,3596.0,bons
563,4269.806002623705,5120.0,5457.052815525793,4236.0,bons
724,3878.3027105643623,4680.0,5027.4868940545275,3857.0,bons
568,3385.0526282644037,4047.0,4401.723206839667,3347.5,bons
564,3504.6666988402085,4200.0,4769.288256397798,3470.5,bons
605,3492.768110441842,4440.0,4715.09305893749,3460.5,bons
532,3313.1408915588945,3740.0,4107.461877427302,3262.0,bons
681,3871.217491383424,4779.0,5355.316813207132,3827.0,bons
624,3409.4282229127793,4144.0,4616.467231202175,3349.5,bons
527,3633.561988566628,4514.0,4558.660339414952,3612.5,bons
840,3952.5710195632523,5015.0,5852.590419001143,3902.0,bons
683,3625.888441383078,4400.0,5166.560457445139,3587.0,bons
602,3714.1561504950723,4307.0,5366.651690836729,3631.5,bons
486,3842.69428729081,4602.0,5533.656599315041,3813.0,bons
629,4413.665501067242,5124.0,6009.330662961284,4373.5,bons
587,4074.027292795221,4902.0,5903.881064594889,3975.0,bons
724,3485.423086134383,4158.0,4952.668141352202,3445.5,bons
766,3681.311716867823,4374.0,5418.179195756135,3649.0,bons
643,3122.334530523393,3850.0,4399.824095699277,3075.0,bons
512,4473.659099646872,5002.0,6091.235469720285,4424.5,bons
520,2915.033042802032,3520.0,3540.752577853115,2901.5,bons
702,2867.1377223381446,3637.0,3459.7604782539747,2847.5,bons
801,3425.821827038022,3978.0,5027.358411989773,3369.5,bons
761,3191.3717849805957,3942.0,4337.666522831946,3143.5,bons
512,3488.5289135639905,4250.0,5815.370838370728,3454.5,bons
905,3265.994764191141,4050.0,4556.813472860267,3242.5,bons
718,3389.2116481684366,4260.0,4765.820450915906,3354.5,bons
1075,4056.6287369008573,5214.0,5483.582149656761,4036.0,bons
629,4092.4454056040736,4672.0,5595.203074095226,4033.0,bons
1442,4918.541095170489,6106.0,6321.000759293251,4845.5,bons
839,4451.655116535762,5330.0,6482.777287540129,4364.0,bons
1509,4401.163893046688,5200.0,5707.287636859435,4298.5,bons
911,3900.3530989006877,4818.0,5003.331472530434,3876.0,bons
1085,4101.533789577872,5016.0,5549.649471193571,4024.0,bons
801,4342.6868895477655,5304.0,5271.224211685745,4311.5,bons
1214,3885.055168841822,4526.0,5302.006071141176,3770.0,bons
2021,4914.903613909559,6348.0,7021.075675440961,4801.0,bons
2525,5402.245930874304,6768.0,7641.43591108986,5292.5,bons
1846,4350.6852809563925,5372.0,5423.573541128113,4202.5,bons
688,3559.6058254829422,4307.0,4641.281378906709,3541.5,bons
512,4527.876649051532,5785.0,7100.028460555358,4518.0,bons
687,4140.926663883812,5002.0,5756.994987142393,4112.5,bons
413,3230.2882345423554,4148.0,3917.4056544985897,3213.0,bons
662,4418.039188024997,5184.0,6473.279955522495,4364.0,bons
710,4474.592979434485,5610.0,6449.718039023126,4458.5,bons
570,3578.238964972291,4560.0,5260.622236290069,3553.5,bons
710,3116.1932263891963,3990.0,3991.637729930355,3098.0,bons
550,4176.256145753855,5382.0,5146.140509397185,4160.0,bons
795,3790.9058296384287,4620.0,4934.622936479661,3768.0,bons
831,3419.6484535565573,4485.0,4360.2401130261405,3390.5,bons
433,4581.812190747335,5418.0,6184.201095112698,4552.0,bons
733,3892.0068207206314,5083.5,5263.972225436277,3857.5,bons
982,3249.5590791477102,4221.0,4072.311759988965,3239.0,bons
408,3464.5553264231726,4278.0,4269.108798653768,3447.5,bons
547,3723.8128253316886,4524.0,5135.4131830203205,3697.0,bons
525,4605.420381239802,5819.0,6063.301540303818,4595.0,bons
475,4360.483283134397,5508.0,5806.281045130778,4323.5,bons
362,3606.413837885136,4519.5,4952.361709590329,3590.5,bons
435,3929.004377689841,4648.0,5661.176333550223,3908.0,bons
512,3330.798967148575,4320.0,4273.374784143609,3324.0,bons
512,4134.719407514737,5177.5,5205.801381407703,4109.5,bons
404,3228.3719767586413,3976.0,4160.277069112992,3207.5,bons
651,3100.832528481832,3953.0,3934.081772693026,3069.5,bons
745,3685.6798303087553,4806.0,6171.057774029464,3646.5,bons
618,3897.880675723984,5005.0,4918.573626481845,3876.0,bons
450,3973.169230295329,4889.5,5153.443891944177,3954.0,bons
369,3507.0106321100034,4488.0,4117.295749255536,3496.0,bons
506,3447.7199708910393,4340.0,4280.442603444298,3437.0,bons
567,3937.7071534391316,4800.0,4773.874716945375,3910.5,bons
435,3089.2891805427594,3795.0,4027.7894132865163,3051.5,bons
512,3128.7997673255877,3990.0,4095.84031789086,3100.5,bons
504,3669.580927856323,4543.0,5033.643491477202,3652.5,bons
710,3753.950794988353,4588.0,4680.444574495574,3731.0,bons
781,3460.1550053683895,4588.0,5378.079870070837,3445.0,bons
1235,3564.669358850723,4508.5,5293.533528264979,3502.5,bons
461,3536.9924264062056,4543.0,4943.51258978673,3504.0,bons
486,3247.6198075057655,3773.0,4853.744639535236,3220.0,bons
534,3777.838999008027,4582.0,5186.054753355624,3761.0,bons
527,3510.0705582679357,4307.0,4637.433137175286,3488.0,bons
519,3458.1904081320577,4234.0,4505.133319620754,3434.0,bons
486,3370.053087629261,4118.0,4213.684211681731,3358.0,bons
527,3657.2877572300226,4556.0,4573.62981681032,3646.5,bons
305,3005.5931547470627,3417.0,4128.245620933347,2984.5,bons
719,4027.228522302904,5168.0,5043.066468560809,3999.0,bons
768,3125.8117269586273,4156.0,4926.827085578837,3109.0,bons
570,3561.2091339560898,4466.0,5036.783184860822,3548.5,bons
362,3814.981137715989,4740.0,5321.499493146458,3800.0,bons
526,3271.7774435172546,3906.0,4279.657886440839,3242.0,bons
538,4192.0956301107,5390.0,5324.917159156526,4173.0,bons
458,3318.192165968772,4224.0,4361.843973103842,3283.0,bons
572,3671.218972495503,4650.0,4859.188758014382,3659.5,bons
456,3717.5227838028973,4608.0,4518.664740168494,3705.0,bons
615,3819.576688804647,4912.5,4543.552237464012,3799.5,bons
891,3980.659867686443,5064.5,5363.509834548843,3955.0,bons
635,3074.841260597747,3705.0,3940.365033216733,3062.5,bons
614,3098.334991438807,3762.0,3748.246437093944,3086.5,bons
337,3345.5131200765854,4140.0,3935.8266670619664,3331.0,bons
948,3911.40615399897,5005.0,5004.095762239038,3891.0,bons
527,3618.366669032188,4464.0,4386.47193285642,3601.5,bons
458,4113.550639143342,4914.0,5194.378502000114,4083.5,bons
833,3273.528333963018,3990.0,4280.442603444298,3245.5,bons
543,3850.6725823158504,4712.0,4826.714498658858,3839.0,bons
482,3494.673909348576,4270.0,4380.974563412688,3475.0,bons
621,3033.7265281506698,3968.0,4113.85429134587,3008.5,bons
568,3378.4958085325093,4176.0,4411.604831014189,3345.5,bons
801,3297.2292942638796,3933.0,4117.78254496252,3256.5,bons
543,3651.980571506949,4332.0,4830.699685652863,3630.5,bons
572,3495.898326451583,4536.0,4707.129376426833,3469.5,bons
572,3906.8078058784217,4819.0,5184.396451888346,3867.5,bons
459,3737.702833738772,4503.0,5517.4477397909795,3717.0,bons
524,3663.205881199732,4599.0,4402.536083439171,3645.5,bons
439,3364.963179655992,4161.0,4421.9813100911415,3324.0,bons
527,4150.87459864503,5040.0,5715.119846569745,4101.5,bons
512,4491.573982213114,5208.0,6204.2959174963535,4466.0,bons
475,3643.012266141604,4331.0,4888.000782342845,3610.0,bons
458,3958.1026495318783,4897.0,5568.864920948788,3919.0,bons
543,3623.754308587104,4400.0,5294.244890378216,3589.0,bons
543,4673.539169057628,5695.0,6060.945202909204,4641.5,bons
625,2983.304158827248,3809.0,3789.3595943382193,2965.0,bons
519,3688.919539994959,4543.0,4818.428962875983,3661.0,bons
458,3073.026877112592,3740.0,3866.5050279934485,3058.5,bons
600,3381.348211045403,4331.0,4386.47193285642,3356.5,bons
683,3578.260142345156,4368.0,5863.024065540996,3554.0,bons
476,3527.9937469328456,4440.0,4684.003348206246,3502.0,bons
645,3481.317250505346,4350.0,4716.34019796995,3462.0,bons
609,3826.831750466606,4779.0,5392.76500089252,3805.0,bons
600,3314.498614408998,4118.0,4207.998858951512,3291.5,bons
1079,6414.716606943067,8260.0,9027.030074140419,6327.0,bons
843,6167.987909313985,7734.0,7755.10259109453,6133.5,bons
1063,6766.360495847077,8596.0,9176.739690622842,6735.5,bons
869,7147.120770882194,8512.0,10874.66844255551,7085.5,bons
