convexHull,Elipse,Rec,Circle,Area,Classe
1126,5505.584128835073,7125.0,7868.149776421983,5472.5,tput
546,5467.590339568195,6675.0,7330.151049224662,5422.5,tput
923,5209.873699764978,6497.0,6451.681701552455,5197.5,tput
931,6336.60588406481,8209.0,8077.851173049936,6291.0,tput
621,5688.4777250731195,7350.0,7851.009827370809,5652.0,tput
1489,5918.4002034520545,7657.5,9174.269498794809,5859.0,tput
683,5035.684471172107,6130.0,6486.34902239448,4986.0,tput
602,4894.786862759544,6285.0,6191.033359053812,4856.0,tput
921,5485.6710118304145,6853.0,6661.456448878457,5463.0,tput
458,4746.080610244742,6145.0,5865.234942959314,4735.5,tput
595,4958.1747319664555,6335.0,5720.638522637714,4918.0,tput
856,6473.918602100048,8104.0,8239.664937566391,6439.0,tput
1112,5554.133845130476,6932.5,8130.373945858932,5518.0,tput
639,4469.202972135412,5695.0,5952.77015491865,4459.0,tput
1049,4421.041743423379,5984.0,6935.097156166821,4358.5,tput
606,3934.4599772707647,5151.5,5259.734643374261,3909.0,tput
534,4173.981285142425,5313.0,4879.050689478912,4149.5,tput
458,5330.604903407344,6796.5,6637.219289517883,5305.5,tput
1000,4427.007406461989,5459.0,5649.203069242586,4382.0,tput
805,5611.025096368819,6984.0,8016.672072332904,5555.0,tput
689,5146.013170757431,6528.0,7353.083497899415,5123.5,tput
589,4720.337521486863,6052.0,6314.5280297629315,4708.0,tput
1526,5703.741331451387,7632.0,9529.746241604911,5665.0,tput
989,4827.343137288111,6283.0,6838.883824179237,4791.5,tput
457,4312.21395140481,5293.0,5461.761885998075,4289.5,tput
423,5697.4218820071,7000.0,7954.290263121802,5658.5,tput
706,5823.585987748173,7255.0,7504.33759221099,5804.5,tput
683,4616.677393822167,5850.0,6365.487767591371,4591.5,tput
905,4006.700775978067,5195.5,5069.374826654094,3977.0,tput
761,4844.714903854775,5922.0,7055.674233668483,4814.0,tput
489,4518.2199441875155,5563.0,6372.256421490734,4495.0,tput
601,5313.047092882449,6882.0,7641.9737739244065,5286.0,tput
483,4152.063498456302,5135.0,5562.215712180908,4132.0,tput
856,5046.395644470234,6356.5,6283.2130931801385,5030.5,tput
668,4036.4973827412427,5166.0,5341.314299374112,4018.5,tput
1017,3804.8906797505642,5016.0,5027.358411989773,3758.0,tput
572,3898.114499792929,4916.0,4811.336090038685,3872.0,tput
1153,4402.59117646732,5852.0,7748.769728209737,4352.0,tput
