convexHull,Elipse,Rec,Circle,Area,Classe
1537,5369.896139664017,6734.0,7689.716598783349,5326.5,bons
751,5375.4183138535145,6290.0,7330.151049224662,5315.0,bons
1052,5116.571327593344,6177.0,6483.734372440294,5090.0,bons
931,6206.307245809235,7954.0,7854.012792990141,6162.0,bons
801,5571.591637933347,6935.0,7895.37321255697,5521.0,bons
1638,5877.650840776963,7703.0,9149.922180970494,5827.0,bons
850,4959.151596093568,6208.0,6469.3528865884255,4921.0,bons
648,4819.620754999458,6120.0,6247.0317584634395,4784.0,bons
506,5391.839220174426,6512.0,6664.132077450225,5368.0,bons
480,4672.758696986325,5976.0,5817.948156829428,4661.0,bons
1031,4905.537656670452,6232.0,5784.751877856305,4857.0,bons
742,6386.377381924868,8000.0,8189.1893174159895,6356.0,bons
1180,5506.317085968834,6932.5,8178.540215469006,5488.0,bons
614,4404.410477085842,5395.0,5853.679819715513,4391.0,bons
738,4359.248981924432,5726.0,7003.425209733086,4318.5,bons
750,3869.145429408354,4960.0,5227.63562483101,3838.0,bons
497,4111.095289750561,5092.0,4907.086865074297,4088.0,bons
422,5265.271351634899,6688.0,6573.025742519213,5233.5,bons
973,4361.0211523512435,5293.0,5611.985570513153,4305.0,bons
606,5484.878489121657,6510.0,7914.359906010723,5409.5,bons
666,5059.050838165643,6231.0,7177.66283879451,5029.5,bons
572,4607.299333535147,5655.0,6253.224928343447,4589.0,bons
1293,5480.016624983101,6901.0,9350.444093917158,5435.5,bons
703,4441.794388049778,5472.0,5838.4384686583735,4396.5,bons
833,4818.572181336647,6220.0,6836.920233519782,4780.5,bons
503,4215.1123673301,4992.0,5452.1171173338325,4189.5,bons
572,5556.304653886769,6499.0,7803.0774989397905,5486.0,bons
761,5744.650904529621,7102.0,7590.9035907397265,5720.5,bons
599,4521.720614438472,5655.0,6257.514798648164,4488.5,bons
674,3919.0664706761013,5025.0,5105.112723524102,3893.5,bons
576,4733.381359915113,5487.0,7047.988659720085,4701.5,bons
512,4438.758077014001,5522.0,6277.689714191291,4413.5,bons
540,5196.560722312749,6532.0,7540.34163335029,5161.0,bons
426,4091.6515618619123,4977.0,5562.215712180908,4056.5,bons
648,4979.302440287512,6375.0,6473.279955522495,4959.5,bons
607,3975.8940312671175,4960.0,5284.787585305853,3956.5,bons
687,3746.160199953062,4800.0,4873.419863219254,3711.0,bons
572,3833.602514348533,4800.0,4746.162632510396,3812.0,bons
870,4254.501138123032,5487.0,7648.238018529304,4170.5,bons
810,4148.347915941731,5256.0,4900.551885327189,4129.0,bons
461,4068.521868399739,4928.0,5267.4312389066445,4045.5,bons
1081,4532.775116728029,5644.0,5881.87388501381,4513.0,bons
724,4663.044294322347,5836.0,6206.165398663064,4594.0,bons
810,4597.066842890908,5576.0,5713.072366288362,4572.0,bons
527,3803.34621384728,4697.0,4918.934019318568,3783.0,bons
672,3678.15447238186,4466.0,4780.535077439164,3633.5,bons
