convexHull,Elipse,Rec,Circle,Area,Classe
1126,5402.061884242446,6734.0,7618.392993454135,5358.5,0
567,5399.5619472286635,6364.0,7330.151049224662,5350.5,0
838,5146.0660518665645,6248.0,6449.860307625528,5124.0,0
931,6249.918398461251,7954.0,7898.780048706971,6213.5,0
558,5605.5536747270135,6935.0,7810.81640380591,5555.0,0
1473,5906.225392211761,7657.5,9204.900285321011,5847.0,0
809,4989.301411935627,6130.0,6470.170837043162,4952.0,0
506,4830.622094189233,6120.0,6189.126796110132,4805.5,0
922,5428.473810754,6586.0,6661.456448878457,5395.5,0
422,4693.13007522578,5976.0,5860.255620060929,4682.0,0
600,4923.5870442922605,6232.0,5691.1027182557655,4878.5,0
742,6412.3358124860615,8000.0,8189.1893174159895,6383.0,0
1030,5511.776472637425,6932.5,8184.66581391821,5494.0,0
603,4424.362849898508,5395.0,5896.930869943361,4409.0,0
588,4346.771213835444,5676.0,6931.168620165699,4302.5,0
606,3874.296337613819,4960.0,5227.63562483101,3849.5,0
476,4115.002121789204,5092.0,4854.321230445178,4098.5,0
426,5288.534669638156,6688.0,6613.0812869687325,5260.5,0
1000,4400.359648152375,5304.0,5637.494279458756,4356.5,0
572,5529.015435925853,6510.0,8005.7933542459905,5440.0,0
689,5073.548413609132,6298.0,7182.565963872641,5052.0,0
539,4637.3603247819,5655.0,6265.515574208855,4615.5,0
721,5517.03016860583,6901.0,9332.13463518015,5474.5,0
1049,4818.717643753912,6319.0,6838.883824179237,4786.0,0
567,4218.542020123899,4928.0,5444.406441340656,4199.5,0
423,5592.940602377808,6566.0,7954.290263121802,5528.0,0
706,5729.846920757373,7280.0,7504.33759221099,5713.5,0
683,4547.094708187394,5655.0,6294.339018431012,4524.0,0
699,3950.7273166268587,5025.0,5040.710138218924,3923.5,0
554,4757.355465420243,5580.0,7051.291535202244,4721.0,0
459,4453.386094841179,5563.0,6355.314579732166,4433.0,0
567,5222.614717581042,6532.0,7535.14060359201,5188.5,0
414,4091.7486776319743,4977.0,5562.215712180908,4065.0,0
543,4996.174869175419,6240.0,6346.830030660366,4984.0,0
605,4001.3169569073184,5022.0,5310.103043404114,3979.5,0
683,3765.125595864807,4800.0,4948.818448468401,3727.5,0
550,3853.8400885419874,4875.0,4798.915758624885,3829.0,0
1024,4276.867280528673,5487.0,7648.238018529304,4209.5,0
856,4198.843347530935,5328.0,4930.116543850778,4186.0,0
567,4084.7366584558126,4928.0,5267.4312389066445,4058.0,0
1017,4582.898821267321,5644.0,5957.271961107211,4558.5,0
543,4670.484904422126,5836.0,6206.165398663064,4631.5,0
527,4616.7447404821905,5576.0,5753.999349493489,4593.5,0
572,3810.4055738667835,4697.0,4866.640371557551,3794.5,0
380,3673.794042710062,4543.0,4823.569608326786,3640.5,0
567,4364.170111922529,5355.0,6001.431312137113,4324.0,0
543,4340.478537637661,5084.0,5744.9402416732855,4294.5,0
1323,4050.38413253746,5253.0,6519.258412226798,4016.0,0
780,3949.2492786859716,4740.0,5131.425287838399,3911.5,0
631,4334.579781830508,5074.0,6092.814452667582,4296.5,0
765,3785.627744468607,4233.0,5834.787467272629,3701.5,0
617,3816.9312641976935,4543.0,4842.459028534524,3789.5,0
1357,4092.2408115087883,5139.5,5851.182521362681,4070.0,0
528,4008.8692990221907,4880.0,5414.370521650783,3985.0,0
1292,4053.310400826086,5037.0,5234.863524951205,4035.0,0
640,3294.686418012111,3975.0,4961.385429162389,3248.0,0
660,4594.447725963866,5832.0,6035.812116826807,4563.0,0
668,3539.9662538141906,4543.0,5557.503848680377,3528.0,0
472,4220.522864434061,5160.0,6214.914688899034,4202.5,0
1220,3952.805184147707,4860.0,5484.437358119306,3936.0,0
512,4091.018977858352,5040.0,5533.156659538541,4074.5,0
475,3556.488530612744,4352.0,4684.924259998376,3534.5,0
729,4561.695739203126,5432.0,7627.39788981795,4444.0,0
614,4549.691275761267,5880.0,6100.861365048709,4524.0,0
819,4010.971791609183,4928.0,5053.509500387505,3986.5,0
1086,4485.246010021912,5712.0,6216.571460154048,4441.0,0
1136,4083.431612642982,5092.0,5156.853779952363,4047.5,0
639,3454.881822428,4288.0,4370.366519547504,3438.0,0
717,3301.3568726482354,3965.0,4251.382800822487,3276.5,0
1280,3244.261746692482,3944.0,3951.5260241932865,3203.5,0
790,3508.6837539646212,4248.0,4308.992420419046,3481.0,0
639,3809.499626000224,4672.0,4469.7140615190565,3802.5,0
1131,3184.7484269836523,4154.0,4275.730959264446,3149.0,0
488,4091.201179143539,5135.0,5309.316716206909,4077.5,0
538,3629.5041537399193,4347.0,4429.854921254993,3595.0,0
563,4262.305289819813,5120.0,5476.43865836124,4230.0,0
724,3870.0491288663784,4680.0,5027.374711862283,3853.5,0
568,3374.621014813558,4047.0,4401.723206839667,3341.0,0
564,3498.4503669124833,4200.0,4769.288256397798,3464.5,0
605,3494.159526574149,4440.0,4715.09305893749,3459.5,0
532,3312.554182326774,3740.0,4107.461877427302,3261.0,0
602,3862.0968015586773,4779.0,5354.792340575828,3818.0,0
486,3409.0402209732497,4144.0,4616.467231202175,3347.0,0
527,3620.6446613108874,4514.0,4558.660339414952,3602.0,0
807,3928.3322552617014,5015.0,5852.590419001143,3877.5,0
687,3626.1553275873653,4400.0,5166.560457445139,3586.0,0
509,3708.8822566894837,4307.0,5366.651690836729,3627.5,0
486,3839.5513341812602,4524.0,5545.973105468468,3809.0,0
629,4402.384434948186,5124.0,6009.330662961284,4366.0,0
587,4071.641437728289,4902.0,5907.271950909131,3972.0,0
676,3489.0534895350283,4158.0,4952.668141352202,3443.5,0
758,3672.790819790783,4510.0,5415.351672049783,3638.5,0
512,3124.097196475562,3850.0,4355.056376707607,3074.5,0
512,4476.128952484923,5002.0,6091.235469720285,4426.5,0
520,2912.3382052389566,3520.0,3540.752577853115,2896.0,0
1228,2845.4640302428556,3637.0,3517.563334416549,2828.0,0
588,3420.332296627286,3927.0,5027.358411989773,3362.5,0
761,3187.311297182969,3942.0,4355.671265321741,3141.5,0
413,3483.9317361621274,4250.0,5782.775255707841,3449.0,0
905,3260.7550922765854,4050.0,4556.813472860267,3239.0,0
621,3379.1158455251616,4260.0,4543.552237464012,3350.5,0
1075,4054.5174815461633,5214.0,5489.7754052943965,4033.0,0
629,4073.9772777336984,4672.0,5413.028300654668,4022.5,0
768,4868.577450931951,6106.0,6313.33531134085,4828.0,0
839,4444.665681985324,5330.0,6473.279955522495,4359.5,0
1057,4309.143611306147,5135.0,5702.408508058103,4235.5,0
903,3879.9102454023096,4818.0,4989.465794253576,3852.0,0
1019,4061.8901026210583,5016.0,5344.660220870202,4009.0,0
801,4340.946518578169,5304.0,5274.167061508624,4315.5,0
941,3816.615549420071,4588.0,4868.40556701257,3749.0,0
